"installed_rank";"version";"description";"type";"script";"checksum";"installed_by";"installed_on";"execution_time";"success"
1;"1";"init-mysql-database";"SQL";"V1__init-mysql-database.sql";-564223334;"restadmin";"2023-10-03 14:17:42";36;1
2;"2";"add-email-to-customer";"SQL";"V2__add-email-to-customer.sql";1957864881;"restadmin";"2023-10-03 15:32:23";37;1
